date,kWh
08/04/2024,"13,783"
08/05/2024,"20,535"
08/06/2024,"19,382"
08/07/2024,"22,156"
08/08/2024,"20,620"
08/09/2024,"12,114"
08/10/2024,"16,813"
08/11/2024,"19,109"
08/12/2024,"20,758"
08/13/2024,"12,506"
08/14/2024,"7,030"
08/15/2024,"17,449"
08/16/2024,"10,132"
08/17/2024,"18,843"
08/18/2024,"15,211"
08/19/2024,"16,001"
08/20/2024,"7,165"
08/21/2024,"15,126"
08/22/2024,"10,388"
08/23/2024,"13,333"
08/24/2024,"6,493"
08/25/2024,"17,345"
08/26/2024,"14,448"
08/27/2024,"18,847"
08/28/2024,"18,688"
08/29/2024,"14,866"
08/30/2024,"12,930"
08/31/2024,"17,992"
09/01/2024,"16,893"
09/02/2024,"16,284"
09/03/2024,"7,167"
09/04/2024,"6,311"
09/05/2024,"14,573"
09/06/2024,"13,689"
09/07/2024,"13,956"
09/08/2024,"14,645"
09/09/2024,"10,116"
09/10/2024,"3,301"
09/11/2024,"12,959"
09/12/2024,"7,952"
09/13/2024,"14,606"
09/14/2024,"12,839"
09/15/2024,"14,129"
09/16/2024,"11,708"
09/17/2024,"10,224"
09/18/2024,"14,922"
09/19/2024,"13,193"
09/20/2024,"15,148"
09/21/2024,"14,578"
09/22/2024,"8,659"
09/23/2024,"8,716"
09/24/2024,"4,043"
09/25/2024,"2,643"
09/26/2024,"7,750"
09/27/2024,"1,623"
09/28/2024,"10,667"
09/29/2024,"9,668"
09/30/2024,"2,371"
10/01/2024,"1,273"
10/02/2024,"7,035"
10/03/2024,"13,193"
10/04/2024,"11,573"
10/05/2024,"13,209"
10/06/2024,"10,612"
10/07/2024,"10,132"
10/08/2024,"6,811"
10/09/2024,"4,372"
10/10/2024,"5,667"
10/11/2024,"11,293"
10/12/2024,"4,673"
10/13/2024,"6,393"
10/14/2024,"5,684"
10/15/2024,"9,776"
10/16/2024,"6,674"
10/17/2024,"3,074"
10/18/2024,"4,209"
10/19/2024,"4,187"
10/20/2024,"3,842"
10/21/2024,"1,646"
10/22/2024,"8,457"
10/23/2024,"3,134"
10/24/2024,"10,716"
10/25/2024,"9,663"
10/26/2024,"8,790"
10/27/2024,"6,902"
10/28/2024,"3,115"
10/29/2024,"3,337"
10/30/2024,"3,136"
10/31/2024,"1,955"
11/01/2024,996
11/02/2024,"8,228"
11/03/2024,"9,744"
11/04/2024,"9,532"
11/05/2024,"8,951"
11/06/2024,"1,588"
11/07/2024,"1,260"
11/08/2024,682
11/09/2024,646
11/10/2024,215
11/11/2024,"5,634"
11/12/2024,"7,206"
11/13/2024,"1,677"
11/14/2024,"1,616"
11/15/2024,"1,486"
11/16/2024,834
11/17/2024,"4,338"
11/18/2024,"5,019"
11/19/2024,"1,992"
11/20/2024,"1,451"
11/21/2024,"3,405"
11/22/2024,"1,523"
11/23/2024,901
11/24/2024,"4,402"
11/25/2024,721
11/26/2024,"2,194"
11/27/2024,129
11/28/2024,"4,808"
11/29/2024,"6,827"
11/30/2024,"3,398"
12/01/2024,"5,583"
12/02/2024,"1,298"
12/03/2024,"2,761"
12/04/2024,831
12/05/2024,244
12/06/2024,911
12/07/2024,"1,830"
12/08/2024,"3,463"
12/09/2024,752
12/10/2024,403
12/11/2024,840
12/12/2024,533
12/13/2024,293
12/14/2024,791
12/15/2024,610
12/16/2024,418
12/17/2024,"1,266"
12/18/2024,506
12/19/2024,510
12/20/2024,"3,590"
12/21/2024,659
12/22/2024,"1,903"
12/23/2024,"2,398"
12/24/2024,440
12/25/2024,415
12/26/2024,290
12/27/2024,844
12/28/2024,"1,235"
12/29/2024,263
12/30/2024,675
12/31/2024,469
01/01/2025,122
01/02/2025,"3,263"
01/03/2025,"1,341"
01/04/2025,546
01/05/2025,99
01/06/2025,782
01/07/2025,"2,597"
01/08/2025,"3,451"
01/09/2025,"4,439"
01/10/2025,"2,714"
01/11/2025,"5,645"
01/12/2025,"2,162"
01/13/2025,"7,193"
01/14/2025,929
01/15/2025,"1,149"
01/16/2025,897
01/17/2025,771
01/18/2025,"1,343"
01/19/2025,549
01/20/2025,461
01/21/2025,"1,002"
01/22/2025,"1,037"
01/23/2025,"2,073"
01/24/2025,860
01/25/2025,"4,170"
01/26/2025,"6,366"
01/27/2025,"6,090"
01/28/2025,"2,092"
01/29/2025,"2,892"
01/30/2025,"3,874"
01/31/2025,"5,500"
02/01/2025,"9,414"
02/02/2025,"10,133"
02/03/2025,"6,509"
02/04/2025,"1,838"
02/05/2025,"9,316"
02/06/2025,"7,457"
02/07/2025,"1,873"
02/08/2025,"3,048"
02/09/2025,"2,018"
02/10/2025,"2,062"
02/11/2025,430
02/12/2025,"1,337"
